name,address,latitude,longitude
Unknown,Unknown Address,53.4537669,-6.1615906
Unknown,Unknown Address,53.4526681,-6.1591767
Unknown,Unknown Address,53.2172263,-6.6665609
Unknown,Unknown Address,53.3267701,-6.3177022
Fitzpatrick's Car Park,Unknown Address,52.8541571,-8.9701442
Unknown,Unknown Address,53.276719,-6.1314742
Unknown,Unknown Address,52.8574677,-8.9480476
Unknown,Unknown Address,52.5360467,-7.2473227
Unknown,Unknown Address,52.3908228,-7.1721165
Unknown,Unknown Address,53.2985857,-6.2368093
Unknown,Unknown Address,54.494567,-5.537525
Unknown,Unknown Address,52.8405382,-8.2792394
Motorway lay-by,Unknown Address,52.7671046,-8.3889699
Unknown,Unknown Address,54.1222839,-6.3887016
Unknown,Unknown Address,52.536232,-7.2466984
Unknown,Unknown Address,53.2411468,-6.8551884
Unknown,Unknown Address,53.104183,-9.1691743
Unknown,Unknown Address,53.0410474,-9.3385496
Unknown,Unknown Address,53.140484,-9.276175
Unknown,Unknown Address,52.9397713,-9.2985919
The Burren,Unknown Address,53.0692769,-9.3583236
Unknown,Unknown Address,53.2811737,-6.1216908
Unknown,Unknown Address,54.4481067,-6.1075958
A One Tyres,Unknown Address,54.3980038,-6.174828
Visitors Parking,Unknown Address,53.2890981,-7.5206094
Visitors Parking,Unknown Address,53.2890853,-7.5222938
Mill Island,Unknown Address,52.1393611,-8.2723022
Drumkeeragh Forest,Unknown Address,54.34577,-5.9545808
Unknown,Unknown Address,53.0895755,-7.9093313
Unknown,Unknown Address,53.2804076,-7.4914903
Unknown,Unknown Address,54.3239476,-6.2961735
Unknown,Unknown Address,52.9465959,-7.7965461
Public Parking for Dublin Gliding Club,Unknown Address,53.1737068,-6.6328213
Johnstown Garden Centre car park,Unknown Address,53.2379469,-6.6236702
Dun Laoghaire Shopping Centre Parking,Marine Road,53.292623,-6.1343182
Unknown,Unknown Address,53.4048376,-6.3036095
Unknown,Unknown Address,54.5112456,-6.3099403
Unknown,Unknown Address,55.1193788,-6.6817704
Unknown,Unknown Address,55.1192115,-6.6824168
Yellow Water,Unknown Address,54.1351549,-6.1514317
Silent Valley Mountain Park,Unknown Address,54.1217377,-6.0031178
Alcatel-Lucent Parking,Unknown Address,53.4062889,-6.369129
Alcatel-Lucent Parking,Unknown Address,53.4058539,-6.3690968
Alcatel-Lucent Parking,Unknown Address,53.4065128,-6.3703413
Unknown,Unknown Address,52.2048306,-10.0489251
Unknown,Unknown Address,53.2934135,-6.6873268
Unknown,Unknown Address,53.460876,-6.2450684
Unknown,Unknown Address,53.1266843,-7.6600239
Unknown,Unknown Address,52.8587241,-9.4013976
Unknown,Unknown Address,54.0151096,-7.5291358
Unknown,Unknown Address,53.8321902,-7.9194789
Unknown,Unknown Address,53.8323298,-7.9180165
Unknown,Unknown Address,54.9294317,-8.442668
Unknown,Unknown Address,55.1579217,-7.8640544
Unknown,Unknown Address,55.1221065,-7.7028428
Unknown,Unknown Address,55.0371113,-7.6479017
Unknown,Unknown Address,55.2948288,-7.2592913
Parkside,Unknown Address,53.0262517,-7.3005706
Lay-by,Unknown Address,54.4181804,-5.7861852
Unknown,Unknown Address,54.8733997,-8.3819623
Ipsen Employee Parking,Unknown Address,53.406861,-6.3677989
Ipsen Visitor Parking,Unknown Address,53.4066577,-6.3677395
Ipsen Contractor Parking,Unknown Address,53.406421,-6.3679176
Unknown,Unknown Address,53.1787967,-6.6356864
Costa Coffee parking,Unknown Address,52.8325599,-6.9259651
Unknown,Unknown Address,55.2240835,-7.0140853
Unknown,Unknown Address,55.0210714,-7.3000873
Unknown,Unknown Address,54.35173,-6.2712252
Unknown,Unknown Address,54.7987319,-5.833354
Unknown,Unknown Address,54.7999817,-5.8322544
Unknown,Unknown Address,54.3614139,-6.2811962
Unknown,Unknown Address,54.3779553,-7.6520362
Unknown,Unknown Address,54.3834374,-7.654282
Unknown,Unknown Address,53.3473409,-6.3463807
McDonalds Car Park,Unknown Address,53.1741656,-6.8069156
Unknown,Unknown Address,52.5619639,-8.7812765
Cahermurphy Forest Car Park,Unknown Address,53.0045373,-8.6564894
Unknown,Unknown Address,52.2392992,-10.205609
Gorteen Bay Beach,Unknown Address,53.3810001,-9.9540416
Unknown,Unknown Address,53.5408047,-9.6167817
Unknown,Unknown Address,54.3205699,-6.8908495
Unknown,Unknown Address,54.3184058,-6.8927915
Unknown,Unknown Address,54.2241592,-6.9804855
Unknown,Unknown Address,54.2475794,-6.9690325
Rosses Point,Unknown Address,54.3087912,-8.5707657
Unknown,Unknown Address,53.14575,-7.5486329
Clonmel Street,Unknown Address,53.3360557,-6.2626846
Alcatel-Lucent Parking,Unknown Address,53.4044834,-6.3709516
Unknown,Unknown Address,53.3238389,-6.2826403
Unknown,Unknown Address,53.3242684,-6.2814251
Unknown,Unknown Address,52.9017582,-8.3823149
Clayton Whites Hotel Underground Car Park,Unknown Address,52.3404849,-6.4641975
Unknown,Unknown Address,53.4554143,-6.1666637
Unknown,Unknown Address,53.4548608,-6.164647
Unknown,Unknown Address,53.4336828,-6.1244618
Unknown,Unknown Address,53.9649463,-6.3652713
Rockview Walkways,Unknown Address,52.9828014,-7.2813726
Oak Park Forest Park,Unknown Address,52.8656374,-6.8995762
